State,Charges
Alabama,51256
Alaska,63290
Arizona,53869
Arkansas,37857
California,90527
Colorado,61292
Connecticut,41301
Delaware,33444
District of Columbia,45663
Florida,63829
Georgia,48088
Hawaii,39463
Idaho,36330
Illinois,54309
Indiana,47397
Iowa,38231
Kansas,41128
Kentucky,43493
Louisiana,49212
Maine,32158
Maryland,21726
Massachusetts,35752
Michigan,35604
Minnesota,37664
Mississippi,48834
Missouri,41958
Montana,31961
Nebraska,42167
Nevada,73178
New Hampshire,46867
New Jersey,68933
New Mexico,51086
New York,46987
North Carolina,43232
North Dakota,34389
Ohio,44388
Oklahoma,43996
Oregon,41665
Pennsylvania,52793
Rhode Island,34164
South Carolina,58582
South Dakota,39291
Tennessee,49964
Texas,61950
Utah,36993
Vermont,34212
Virginia,48819
Washington,54122
West Virginia,34005
Wisconsin,38811
Wyoming,49155
Puerto Rico,0
